DSRI,GMI,AQI,SGI,DEPI,SGAI,TATA,LVGI,FRAUD_FLAG
1.324046855,0.699713595,0.784149589,1.305297059,1.0330874,1.175462321,-0.077546279,1.071895981,0
0.541890594,1.063566008,0.864988271,0.871432083,0.915544346,0.984511813,0.185485318,0.853732658,0
1.538237201,1.783543618,1.189685188,1.487365724,1.206567433,1.163623123,0.145617654,1.360980696,1
1.021169436,0.264798731,0.752513737,1.348085181,0.762045157,1.001458387,0.088256181,1.434550032,0
1.623639522,1.360922132,1.233561072,1.165546225,0.681934193,0.890597936,0.045031254,1.159698954,0
1.147067412,1.41713748,0.711958888,1.211726333,1.372034306,1.264685957,0.148307144,1.149832743,1
1.068917454,0.692495684,1.216745101,1.966698364,0.88920552,1.050513654,0.105152395,1.311253137,1
0.74807436,0.959168326,0.662617183,1.526924884,1.199217624,1.163097179,0.138531023,1.436334464,0
0.932071722,0.799784853,0.89554683,2.029810652,0.832908785,1.039361981,0.045275833,1.111193352,1
1.347809817,1.656189613,1.524123596,1.362812077,1.191684209,0.878410777,0.193145047,0.950097403,1
0.742229995,1.43090758,1.477136592,0.561323423,1.3867093,1.402097328,0.14335103,1.294180246,0
0.503290158,1.445427612,0.946868837,1.045130519,0.944575723,1.088742064,0.090762904,0.542381789,0
0.89985789,1.136194168,1.147490147,0.46991805,0.663311779,0.911237839,0.150477834,1.372895462,0
1.494001882,1.493627585,1.351017005,1.361321214,1.387758783,1.319582368,0.016467045,0.886943915,1
1.823451877,1.09752903,1.220324044,1.448161679,1.235248864,0.669794057,-0.043400029,1.02793164,1
0.962904516,1.507747288,0.981633938,0.795633602,0.955285753,1.559070913,0.075724041,1.374815397,0
0.657909962,1.055391073,0.862841171,0.887745448,1.006409589,0.955212561,0.045432764,0.975347145,0
1.079904828,0.896227425,1.267025786,1.209500358,0.827869561,0.682996448,0.034182613,1.294222664,0
1.26434943,1.64328508,1.332675827,0.670758375,1.334051386,1.476485337,0.147304963,1.441672626,0
1.402263997,1.093745372,1.478925459,0.640736092,0.943056878,0.884208097,0.063371137,1.133009927,0
1.947124437,0.830360028,0.628187644,1.645452819,0.766258292,1.060811142,0.071085526,1.193434447,0
1.279397088,0.827109831,0.736718803,1.195884247,1.092729176,1.179422685,0.023835795,1.064169238,0
1.779411569,0.828026398,1.340480901,0.926756257,0.877997328,1.296043132,0.120489851,1.134679399,0
1.037976102,1.353332705,0.662117363,0.473152445,0.843997085,1.074943641,0.106150063,0.765078566,0
1.230298035,1.070341137,1.359637489,1.490940543,0.963980159,0.838171148,0.119892774,1.011878574,1
0.992491044,1.789387693,0.996266874,0.876192715,1.067271063,1.054748131,0.010218883,0.713538318,0
0.961998483,1.455853455,0.919771545,1.894273778,0.773778049,0.895171114,0.154327077,0.830369833,1
1.107807954,1.177141439,1.101357149,1.493724039,1.327029785,1.062252919,0.197101474,0.499115294,1
1.101770794,1.521169262,0.713657887,0.826743258,1.185431942,1.407037386,0.117363072,1.179178446,1
